model,top1_accuracy,top5_accuracy
skresnet18,73.036,91.168
semnasnet_075,72.972,91.136
mobilenetv2_100,72.970,91.020
pit_ti_224,72.912,91.406
ssl_resnet18,72.608,91.424
regnetx_004,72.392,90.832
vgg19,72.366,90.870
hrnet_w18_small,72.338,90.680
xcit_nano_12_p16_224_dist,72.302,90.858
resnet18d,72.250,90.688
tf_mobilenetv3_large_minimal_100,72.250,90.630
deit_tiny_patch16_224,72.172,91.114
lcnet_100,72.104,90.376
mixer_l16_224,72.054,87.662
vit_tiny_r_s16_p8_224,71.792,90.822
legacy_seresnet18,71.742,90.332
vgg13_bn,71.594,90.376
vgg16,71.590,90.382
tinynet_c,71.228,89.750
gluon_resnet18_v1b,70.834,89.762
vgg11_bn,70.360,89.802
regnety_002,70.254,89.532
xcit_nano_12_p16_224,69.954,89.754
vgg13,69.926,89.246
resnet18,69.744,89.082
vgg11,69.028,88.626
mobilevit_xxs,68.920,88.944
lcnet_075,68.816,88.370
regnetx_002,68.756,88.556
tf_mobilenetv3_small_100,67.924,87.664
dla60x_c,67.892,88.426
mobilenetv3_small_100,67.656,87.634
tinynet_d,66.958,87.064
mnasnet_small,66.206,86.508
dla46x_c,65.970,86.980
mobilenetv2_050,65.942,86.082
tf_mobilenetv3_small_075,65.714,86.134
mobilenetv3_small_075,65.242,85.438
dla46_c,64.866,86.294
lcnet_050,63.100,84.382
tf_mobilenetv3_small_minimal_100,62.908,84.234
tinynet_e,59.856,81.764
mobilenetv3_small_050,57.890,80.194
